"Stichtagdatjahr","DatenstandCd","HAArtLevel1Sort","HAArtLevel1Cd","HAArtLevel1Lang","HASTWESort","HASTWECd","HASTWELang","RaumSort","RaumCd","RaumLang","AnzZimmerLevel2Sort_noDM","AnzZimmerLevel2Cd_noDM","AnzZimmerLevel2Lang_noDM","AnzHA","HAPreisWohnflaeche","HAMedianPreis","HASumPreis"
2009,"D",1,"22","Kauf",1,"J","Ja",70,"7","Kreis 7",4,"4","4-Zimmer","28",12999,1464440,41179882
2009,"D",1,"22","Kauf",1,"J","Ja",70,"7","Kreis 7",5,"5","5-Zimmer","21",11429,1516440,32839799
2009,"D",1,"22","Kauf",1,"J","Ja",70,"7","Kreis 7",6,"6","6-Zimmer und mehr","16",12544,2490000,40325813
2009,"D",1,"22","Kauf",1,"J","Ja",71,"071","Fluntern",1,"1","1-Zimmer","0",,,
2009,"D",1,"22","Kauf",1,"J","Ja",71,"071","Fluntern",2,"2","2-Zimmer","1–3",12143,680000,K
2009,"D",1,"22","Kauf",1,"J","Ja",71,"071","Fluntern",3,"3","3-Zimmer","4–6",13415,1626030,7953276
2009,"D",1,"22","Kauf",1,"J","Ja",71,"071","Fluntern",4,"4","4-Zimmer","12",13521,1600000,19488493
2009,"D",1,"22","Kauf",1,"J","Ja",71,"071","Fluntern",5,"5","5-Zimmer","6",14400,2294120,13879231
2009,"D",1,"22","Kauf",1,"J","Ja",71,"071","Fluntern",6,"6","6-Zimmer und mehr","5",12064,3350000,11800000
2009,"D",1,"22","Kauf",1,"J","Ja",72,"072","Hottingen",1,"1","1-Zimmer","1–3",37200,930000,K
2009,"D",1,"22","Kauf",1,"J","Ja",72,"072","Hottingen",2,"2","2-Zimmer","1–3",13350,1030000,K
2009,"D",1,"22","Kauf",1,"J","Ja",72,"072","Hottingen",3,"3","3-Zimmer","8",12250,1012500,8965000
2009,"D",1,"22","Kauf",1,"J","Ja",72,"072","Hottingen",4,"4","4-Zimmer","6",14126,1464440,8308889
2009,"D",1,"22","Kauf",1,"J","Ja",72,"072","Hottingen",5,"5","5-Zimmer","3–5",11760,1176000,6745532
2009,"D",1,"22","Kauf",1,"J","Ja",72,"072","Hottingen",6,"6","6-Zimmer und mehr","7",15723,2800000,22300813
2009,"D",1,"22","Kauf",1,"J","Ja",73,"073","Hirslanden",1,"1","1-Zimmer","0",,,
2009,"D",1,"22","Kauf",1,"J","Ja",73,"073","Hirslanden",2,"2","2-Zimmer","1–3",11047,807500,K
2009,"D",1,"22","Kauf",1,"J","Ja",73,"073","Hirslanden",3,"3","3-Zimmer","1–3",7153,575000,K
2009,"D",1,"22","Kauf",1,"J","Ja",73,"073","Hirslanden",4,"4","4-Zimmer","4",13352,1750000,6670000
2009,"D",1,"22","Kauf",1,"J","Ja",73,"073","Hirslanden",5,"5","5-Zimmer","1–3",11429,1600000,K
2009,"D",1,"22","Kauf",1,"J","Ja",73,"073","Hirslanden",6,"6","6-Zimmer und mehr","0",,,
2009,"D",1,"22","Kauf",1,"J","Ja",74,"074","Witikon",1,"1","1-Zimmer","0",,,
2009,"D",1,"22","Kauf",1,"J","Ja",74,"074","Witikon",2,"2","2-Zimmer","8",6054,278540,2429464
2009,"D",1,"22","Kauf",1,"J","Ja",74,"074","Witikon",3,"3","3-Zimmer","8",8389,812500,7245000
2009,"D",1,"22","Kauf",1,"J","Ja",74,"074","Witikon",4,"4","4-Zimmer","6",8104,843750,6712500
2009,"D",1,"22","Kauf",1,"J","Ja",74,"074","Witikon",5,"5","5-Zimmer","9",6813,1001500,10615036
2009,"D",1,"22","Kauf",1,"J","Ja",74,"074","Witikon",6,"6","6-Zimmer und mehr","4",7866,1402500,6225000
2009,"D",1,"22","Kauf",1,"J","Ja",80,"8","Kreis 8",1,"1","1-Zimmer","0",,,
2009,"D",1,"22","Kauf",1,"J","Ja",80,"8","Kreis 8",2,"2","2-Zimmer","4-6",4762,275560,2750000
2009,"D",1,"22","Kauf",1,"J","Ja",80,"8","Kreis 8",3,"3","3-Zimmer","6",10683,987500,6093000
2009,"D",1,"22","Kauf",1,"J","Ja",80,"8","Kreis 8",4,"4","4-Zimmer","9",11917,1200000,12725000
2009,"D",1,"22","Kauf",1,"J","Ja",80,"8","Kreis 8",5,"5","5-Zimmer","1–3",11253,1330000,K
2009,"D",1,"22","Kauf",1,"J","Ja",80,"8","Kreis 8",6,"6","6-Zimmer und mehr","0",,,
2009,"D",1,"22","Kauf",1,"J","Ja",81,"081","Seefeld",1,"1","1-Zimmer","0",,,
2009,"D",1,"22","Kauf",1,"J","Ja",81,"081","Seefeld",2,"2","2-Zimmer","2–4",4762,271110,1850000
2009,"D",1,"22","Kauf",1,"J","Ja",81,"081","Seefeld",3,"3","3-Zimmer","1–3",14731,1300000,K
2009,"D",1,"22","Kauf",1,"J","Ja",81,"081","Seefeld",4,"4","4-Zimmer","1–3",11579,1100000,K
2009,"D",1,"22","Kauf",1,"J","Ja",81,"081","Seefeld",5,"5","5-Zimmer","1–3",11253,1330000,K
2009,"D",1,"22","Kauf",1,"J","Ja",81,"081","Seefeld",6,"6","6-Zimmer und mehr","0",,,
2009,"D",1,"22","Kauf",1,"J","Ja",82,"082","Mühlebach",1,"1","1-Zimmer","0",,,
2009,"D",1,"22","Kauf",1,"J","Ja",82,"082","Mühlebach",2,"2","2-Zimmer","1–3",12857,900000,K
2009,"D",1,"22","Kauf",1,"J","Ja",82,"082","Mühlebach",3,"3","3-Zimmer","1–3",10526,800000,K
2009,"D",1,"22","Kauf",1,"J","Ja",82,"082","Mühlebach",4,"4","4-Zimmer","2–4",15401,1550000,6395000
2009,"D",1,"22","Kauf",1,"J","Ja",82,"082","Mühlebach",5,"5","5-Zimmer","0",,,
2009,"D",1,"22","Kauf",1,"J","Ja",82,"082","Mühlebach",6,"6","6-Zimmer und mehr","0",,,
2009,"D",1,"22","Kauf",1,"J","Ja",83,"083","Weinegg",1,"1","1-Zimmer","0",,,
2009,"D",1,"22","Kauf",1,"J","Ja",83,"083","Weinegg",2,"2","2-Zimmer","0",,,
2009,"D",1,"22","Kauf",1,"J","Ja",83,"083","Weinegg",3,"3","3-Zimmer","1–3",10727,1180000,K
